,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,EQUIPMENT,,,,,,,TOWING PERSONNEL,,,,SERVICE  TYPE,,,,,,,,,
S/N,DATE,DAY,TIME,A/C Regn,A/C Type,PB/TOW,PB,TOW,FROM,TO,AT1,AT2,AT3,AT4,AT5,AT6,AT10,OPERATOR,ASSISTANT 1,ASSISTANT 2,ASSISTANT 3,FBO,"NON
FBO",MXX,"NON
JET","HGR /
CMP CTR",Checked by,REMARKS,JOB NO.,ERROR,ERROR REMARKS
37,3-Sep-26,,1930,PKBKS,C56X,1,,,B7,AG12,,,,,,,1,HDT,SUK,WAF,SAM,1,,,,,ZAR,VIEWING,25194,,
38,,,0730,T7SAI,GLEX,1,,,AG6,C6,,,,,,,,,,,,,,,1,,SAM,TOWED BY BAS,25075,,
39,4-Sep-26,,0825,T7MGM,G450,1,,,B5 ,AG13,1,,,,,,,SAM,WAF,MCU,FOO,,,1,,,SAM,,PAS,,
40,4-Sep-26,,0845,T7G45,G450,,,1,AG13,GRE,1,,,,,,,SAM,FOO,MAU,WAF,,,1,,,SAM,,24979,,
41,4-Sep-26,,0900,T7JSC8,G450,1,,,AG11,B4,,,,,,,1,HDT,RAS,WAF,ALN,,,1,,,SAM,,PAS,,
42,4-Sep-26,,0945,N988GG,GLEX,,,1,CPAC1,C5,,,,,,,1,HDT,RAS,WAF,,1,,,,,SAM,,24868,,
43,4-Sep-26,,1000,T7G45,G450,,,1,GRE,CSA,1,,,,,,,SAM,SAE,MAU,,,,1,,,SAM,,24979,,
44,4-Sep-26,,1000,T7SAI,GLEX,1,,,C6,CPAC1,,,,,,,1,HDT,RAS,WAF,,1,,,,,SAM,,25075,,
45,4-Sep-26,,1030,T7G45,G450,,,1,CSA,AG13,1,,,,,,,SAM,SAE,MAU,FOO,,,1,,,SAM,,24979,,
46,4-Sep-26,,1115,RPC8717,G450,,,1,AG11,GRE,,,,1,,,,HDT,RAS,VIN,SHN,,,1,,,SAM,,WOA,,
47,4-Sep-26,,1120,N45AY,C680,,,1,AG5,B54,1,,,,,,,SAM,WAF,MUS,,1,,,,,SAM,,25086,,
48,4-Sep-26,,1200,RPC8717,G450,,,1,GRE,AG11,,,,1,,,,HDT,RAS,VIN,SHN,,,1,,,SAM,,WOA,,
49,4-Sep-26,,1210,T7VIC,GA8C,,,1,D55,Z4,1,,,,,,,SAM,WAF,RAS,HDT,,1,,,1,SAM,,WOA,,
50,4-Sep-26,,1230,VPCMA,B738,,,1,R1,AG11,,1,,,,,,ZAR,KAT,SAM,WAF,,,1,,,SAM,CUST VIEWING,24976,,
51,4-Sep-26,,1340,N71111,G550,,,1,AG13,C6,,,,1,,,,SAM,WAF,CHEN,CHIANG,,,1,,,SAM,,25069,,
52,4-Sep-26,,1350,MARCO,G550,1,,,Z5,GRE,,,,1,,,,SAM,WAF,RAS,JUN,,,1,,1,SAM,,25177,,
53,4-Sep-26,,1430,T7808,G650,,,1,D56,Z5,,,,1,,,,SAM,WAF,ZAR,KAT,1,,,,1,SAM,,25250,,
54,4-Sep-26,,1445,PKBKS,C56X,1,,,Z4,B2,1,,,,,,,HDT,RAS,ZAR,KAT,,,1,,,SAM,,25194,,
55,4-Sep-26,,1500,N372BC,GLEX,,,1,C3,D56,,,,1,,,,SAM,WAF,,,1,,,,,SAM,,25152,,
56,4-Sep-26,,1535,VPCMA,B738,1,,,AG11,R1,,1,,,,,,HDT,RAS,KAT,SAZ,,,1,,,SAM,,24976,,
57,4-Sep-26,,1535,MARCO,G550,,,1,GRE,Z5,,,,1,,,,SAM,WAF,JUN,ZAR,,,1,,1,SAM,,25177,,
58,4-Sep-26,,1550,T7DNS,G280,1,,,AG11,B1,,,,1,,,,SAM,WAF,HDT,RAS,,,1,,,SAM,,WOA,,
59,4-Sep-26,,1615,T7EQR,G450,1,,,AG13,B54,,,,1,,,,SAM,WAF,FOO,ALN,,,1,,,SAM,,UV,,
60,4-Sep-26,,1640,MSZSZ,G650,1,,,AG13,GRE,,,,1,,,,SAM,WAF,FOO,ALN,,,1,,,SAM,,PAS,,
